mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes"
FLD,ST,m80real,,,,,123,.1..,0.23,,Load Floating Point Value
FUCOMI,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Unordered Compare Floating Point Values and Set EFLAGS
FCOMI,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Compare Floating Point Values and Set EFLAGS
FSTP,m80real,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
FADD,ST,m64real,,,,,123,.1..,0.23,,Add
FADD,STi,ST,,,,,123,.1..,0.23,,Add
FMUL,ST,m64real,,,,,123,.1..,0.23,,Multiply
FMUL,STi,ST,,,,,123,.1..,0.23,,Multiply
FCOM,ST,m64real,,,,,123,123,,,Compare Real
FCOM2,ST,STi,,,,,123,123,,,Compare Real
FCOMP,ST,m64real,,,,,123,123,,,Compare Real and Pop
FCOMP3,ST,STi,,,,,123,123,,,Compare Real and Pop
FSUB,ST,m64real,,,,,123,.1..,0.23,,Subtract
FSUBR,STi,ST,,,,,123,.1..,0.23,,Reverse Subtract
FSUBR,ST,m64real,,,,,123,.1..,0.23,,Reverse Subtract
FSUB,STi,ST,,,,,123,.1..,0.23,,Subtract
FDIV,ST,m64real,,,,,123,.1..,0.23,,Divide
FDIVR,STi,ST,,,,,123,.1..,0.23,,Reverse Divide
FDIVR,ST,m64real,,,,,123,.1..,0.23,,Reverse Divide
FDIV,STi,ST,,,,,123,.1..,0.23,,Divide and Pop
FLD,ST,m64real,,,,,123,.1..,0.23,,Load Floating Point Value
FFREE,STi,,,,,,123,,123,,Free Floating-Point Register
FISTTP,m64int,ST,,,sse3,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
FXCH4,ST,STi,,,,,123,.1..,0.23,,Exchange Register Contents
FST,m64real,ST,,,,,123,.1..,0.23,,Store Floating Point Value
FST,ST,STi,,,,,123,.1..,0.23,,Store Floating Point Value
FSTP,m64real,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
FSTP,ST,STi,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
FRSTOR,ST,ST1,ST2,...,,,123,123,,,Restore x87 FPU State
FUCOM,ST,STi,,,,,123,123,,,Unordered Compare Floating Point Values
FUCOM,ST,ST1,,,,,123,123,,,Unordered Compare Floating Point Values
FUCOMP,ST,STi,,,,,123,123,,,Unordered Compare Floating Point Values and Pop
FUCOMP,ST,ST1,,,,,123,123,,,Unordered Compare Floating Point Values and Pop
FNSAVE,m94/108,ST,ST1,...,,,123,123,,0,Store x87 FPU State
FSAVE,m94/108,ST,ST1,...,,,123,123,,0,Store x87 FPU State
FNSTSW,m16,,,,,,123,,123,,Store x87 FPU Status Word
FSTSW,m16,,,,,,123,,123,,Store x87 FPU Status Word
FIADD,ST,m16int,,,,,123,.1..,0.23,,Add
FADDP,STi,ST,,,,,123,.1..,0.23,,Add and Pop
FADDP,ST1,ST,,,,,123,.1..,0.23,,Add and Pop
FIMUL,ST,m16int,,,,,123,.1..,0.23,,Multiply
FMULP,STi,ST,,,,,123,.1..,0.23,,Multiply and Pop
FMULP,ST1,ST,,,,,123,.1..,0.23,,Multiply and Pop
FICOM,ST,m16int,,,,,123,123,,,Compare Integer
FCOMP5,ST,STi,,,,,123,123,,,Compare Real and Pop
FICOMP,ST,m16int,,,,,123,123,,,Compare Integer and Pop
FCOMPP,ST,ST1,,,,,123,123,,,Compare Real and Pop Twice
FISUB,ST,m16int,,,,,123,.1..,0.23,,Subtract
FSUBRP,STi,ST,,,,,123,.1..,0.23,,Reverse Subtract and Pop
FSUBRP,ST1,ST,,,,,123,.1..,0.23,,Reverse Subtract and Pop
FISUBR,ST,m16int,,,,,123,.1..,0.23,,Reverse Subtract
FSUBP,STi,ST,,,,,123,.1..,0.23,,Subtract and Pop
FSUBP,ST1,ST,,,,,123,.1..,0.23,,Subtract and Pop
FIDIV,ST,m16int,,,,,123,.1..,0.23,,Divide
FDIVRP,STi,ST,,,,,123,.1..,0.23,,Reverse Divide and Pop
FDIVRP,ST1,ST,,,,,123,.1..,0.23,,Reverse Divide and Pop
FIDIVR,ST,m16int,,,,,123,.1..,0.23,,Reverse Divide
FDIVP,STi,ST,,,,,123,.1..,0.23,,Divide and Pop
FDIVP,ST1,ST,,,,,123,.1..,0.23,,Divide and Pop
FILD,ST,m16int,,,,,123,.1..,0.23,,Load Integer
FFREEP,STi,,,,,,123,,123,,Free Floating-Point Register and Pop
FISTTP,m16int,ST,,,sse3,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
FXCH7,ST,STi,,,,,123,.1..,0.23,,Exchange Register Contents
FIST,m16int,ST,,,,,123,.1..,0.23,,Store Integer
FSTP8,STi,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
FISTP,m16int,ST,,,,,123,.1..,0.23,,Store Integer and Pop
FSTP9,STi,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
FBLD,ST,m80dec,,,,,123,.1..,0.23,,Load Binary Coded Decimal
FNSTSW,AX,,,,,,123,,123,,Store x87 FPU Status Word
FSTSW,AX,,,,,,123,,123,,Store x87 FPU Status Word
FILD,ST,m64int,,,,,123,.1..,0.23,,Load Integer
FUCOMIP,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Unordered Compare Floating Point Values and Set EFLAGS and Pop
FBSTP,m80dec,ST,,,,,123,.1..,0.23,,Store BCD Integer and Pop
FCOMIP,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Compare Floating Point Values and Set EFLAGS and Pop
FISTP,m64int,ST,,,,,123,.1..,0.23,,Store Integer and Pop
LOOPNZ,eCX,rel8,,,,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=0
LOOPNE,eCX,rel8,,,,,,,,,
LOOPZ,eCX,rel8,,,,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=1
LOOPE,eCX,rel8,,,,,,,,,
LOOP,eCX,rel8,,,,,,,,,Decrement count; Jump short if count!=0
JCXZ,rel8,CX,,,,,,,,,Jump short if eCX register is 0
JECXZ,rel8,ECX,,,,,,,,,
IN,AL,imm8,,,,,,,,,Input from Port
IN,eAX,imm8,,,,,,,,,Input from Port
OUT,imm8,AL,,,,,,,,,Output to Port
OUT,imm8,eAX,,,,,,,,,Output to Port
CALL,rel16/32,,,,,,,,,,Call Procedure
JMP,rel16/32,,,,,,,,,,Jump
JMPF,ptr16:16/32,,,,,,,,,,Jump
JMP,rel8,,,,,,,,,,Jump
IN,AL,DX,,,,,,,,,Input from Port
IN,eAX,DX,,,,,,,,,Input from Port
OUT,DX,AL,,,,,,,,,Output to Port
OUT,DX,eAX,,,,,,,,,Output to Port
LOCK,,,,,,,,,,,Assert LOCK# Signal Prefix
undefined,,,,,,,,,,,Undefined and Reserved; Does not Generate #UD
INT1,eFlags,,,,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
ICEBP,eFlags,,,,,,,,,,
REPNZ,eCX,,,,,....z...,,,,,Repeat String Operation Prefix
REPNE,eCX,,,,,,,,,,
REP,eCX,,,,,,,,,,Repeat String Operation Prefix
no mnemonic,,,,,sse2,,,,,,Scalar Double-precision Prefix
REPZ,eCX,,,,,....z...,,,,,Repeat String Operation Prefix
REPE,eCX,,,,,,,,,,
REP,eCX,,,,,,,,,,Repeat String Operation Prefix
no mnemonic,,,,,sse1,,,,,,Scalar Single-precision Prefix
HLT,,,,,,,,,,,Halt
CMC,,,,,,.......c,.......c,.......c,,,Complement Carry Flag
TEST,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
TEST,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
NOT,r/m8,,,,,,,,,,One's Complement Negation
NEG,r/m8,,,,,,o..szapc,o..szapc,,,Two's Complement Negation
MUL,AX,AL,r/m8,,,,o..szapc,o......c,...szap.,,Unsigned Multiply
IMUL,AX,AL,r/m8,,,,o..szapc,o......c,...szap.,,Signed Multiply
DIV,AL,AH,AX,r/m8,,,o..szapc,,o..szapc,,Unsigned Divide
IDIV,AL,AH,AX,r/m8,,,o..szapc,,o..szapc,,Signed Divide
TEST,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
TEST,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
NOT,r/m16/32,,,,,,,,,,One's Complement Negation
NEG,r/m16/32,,,,,,o..szapc,o..szapc,,,Two's Complement Negation
MUL,eDX,eAX,r/m16/32,,,,o..szapc,o......c,...szap.,,Unsigned Multiply
IMUL,eDX,eAX,r/m16/32,,,,o..szapc,o......c,...szap.,,Signed Multiply
DIV,eDX,eAX,r/m16/32,,,,o..szapc,,o..szapc,,Unsigned Divide
IDIV,eDX,eAX,r/m16/32,,,,o..szapc,,o..szapc,,Signed Divide
CLC,,,,,,,.......c,.......c,,.......c,Clear Carry Flag
STC,,,,,,,.......c,.......c,,.......C,Set Carry Flag
CLI,,,,,,,..i.....,..i.....,,..i.....,Clear Interrupt Flag
STI,,,,,,,..i.....,..i.....,,..I.....,Set Interrupt Flag
CLD,,,,,,,.d......,.d......,,.d......,Clear Direction Flag
STD,,,,,,,.d......,.d......,,.D......,Set Direction Flag
INC,r/m8,,,,,,o..szap.,o..szap.,,,Increment by 1
DEC,r/m8,,,,,,o..szap.,o..szap.,,,Decrement by 1
INC,r/m16/32,,,,,,o..szap.,o..szap.,,,Increment by 1
DEC,r/m16/32,,,,,,o..szap.,o..szap.,,,Decrement by 1
CALL,r/m16/32,,,,,,,,,,Call Procedure
CALLF,m16:16/32,,,,,,,,,,Call Procedure
JMP,r/m16/32,,,,,,,,,,Jump
JMPF,m16:16/32,,,,,,,,,,Jump
PUSH,r/m16/32,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,,,,,,,,,,
mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes"
SLDT,m16,LDTR,,,,,,,,,Store Local Descriptor Table Register
SLDT,r16/32,LDTR,,,,,,,,,
STR,m16,TR,,,,,,,,,Store Task Register
STR,r16/32,TR,,,,,,,,,
LLDT,LDTR,r/m16,,,,,,,,,Load Local Descriptor Table Register
LTR,TR,r/m16,,,,,,,,,Load Task Register
VERR,r/m16,,,,,,....z...,....z...,,,Verify a Segment for Reading
VERW,r/m16,,,,,,....z...,....z...,,,Verify a Segment for Writing
SGDT,m,GDTR,,,,,,,,,Store Global Descriptor Table Register
VMCALL,,,,,vmx,,o..szapc,o..szapc,,,Call to VM Monitor
VMLAUNCH,,,,,vmx,,o..szapc,o..szapc,,,Launch Virtual Machine
VMRESUME,,,,,vmx,,o..szapc,o..szapc,,,Resume Virtual Machine
VMXOFF,,,,,vmx,,o..szapc,o..szapc,,,Leave VMX Operation
SIDT,m,IDTR,,,,,,,,,Store Interrupt Descriptor Table Register
MONITOR,m8,ECX,EDX,,sse3,,,,,,Set Up Monitor Address
MWAIT,EAX,ECX,,,sse3,,,,,,Monitor Wait
LGDT,GDTR,m,,,,,,,,,Load Global Descriptor Table Register
XGETBV,EDX,EAX,ECX,XCR,,,,,,,Get Value of Extended Control Register
XSETBV,XCR,ECX,EDX,EAX,,,,,,,Set Extended Control Register
LIDT,IDTR,m,,,,,,,,,Load Interrupt Descriptor Table Register
SMSW,m16,MSW,,,,,,,,,Store Machine Status Word
SMSW,r16/32,MSW,,,,,,,,,
LMSW,MSW,r/m16,,,,,,,,,Load Machine Status Word
INVLPG,m,,,,,,,,,,Invalidate TLB Entry
RDTSCP,EAX,EDX,ECX,...,,,,,,,Read Time-Stamp Counter and Processor ID
LAR,r16/32,m16,,,,,....z...,....z...,,,Load Access Rights Byte
LAR,r16/32,r16/32,,,,,,,,,
LSL,r16/32,m16,,,,,....z...,....z...,,,Load Segment Limit
LSL,r16/32,r16/32,,,,,,,,,
CLTS,CR0,,,,,,,,,,Clear Task-Switched Flag in CR0
INVD,,,,,,,,,,,Invalidate Internal Caches
WBINVD,,,,,,,,,,,Write Back and Invalidate Cache
UD2,,,,,,,,,,,Undefined Instruction
NOP,r/m16/32,,,,,,,,,,No Operation
MOVUPS,xmm,xmm/m128,,,sse1,,,,,,Move Unaligned Packed Single-FP Values
MOVSS,xmm,xmm/m32,,,sse1,,,,,,Move Scalar Single-FP Values
MOVUPD,xmm,xmm/m128,,,sse2,,,,,,Move Unaligned Packed Double-FP Value
MOVSD,xmm,xmm/m64,,,sse2,,,,,,Move Scalar Double-FP Value
MOVUPS,xmm/m128,xmm,,,sse1,,,,,,Move Unaligned Packed Single-FP Values
MOVSS,xmm/m32,xmm,,,sse1,,,,,,Move Scalar Single-FP Values
MOVUPD,xmm/m128,xmm,,,sse2,,,,,,Move Unaligned Packed Double-FP Values
MOVSD,xmm/m64,xmm,,,sse2,,,,,,Move Scalar Double-FP Value
MOVHLPS,xmm,xmm,,,sse1,,,,,,Move Packed Single-FP Values High to Low
MOVLPS,xmm,m64,,,sse1,,,,,,Move Low Packed Single-FP Values
MOVLPD,xmm,m64,,,sse2,,,,,,Move Low Packed Double-FP Value
MOVDDUP,xmm,xmm/m64,,,sse3,,,,,,Move One Double-FP and Duplicate
MOVSLDUP,xmm,xmm/m64,,,sse3,,,,,,Move Packed Single-FP Low and Duplicate
MOVLPS,m64,xmm,,,sse1,,,,,,Move Low Packed Single-FP Values
MOVLPD,m64,xmm,,,sse2,,,,,,Move Low Packed Double-FP Value
UNPCKLPS,xmm,xmm/m64,,,sse1,,,,,,Unpack and Interleave Low Packed Single-FP Values
UNPCKLPD,xmm,xmm/m128,,,sse2,,,,,,Unpack and Interleave Low Packed Double-FP Values
UNPCKHPS,xmm,xmm/m64,,,sse1,,,,,,Unpack and Interleave High Packed Single-FP Values
UNPCKHPD,xmm,xmm/m128,,,sse2,,,,,,Unpack and Interleave High Packed Double-FP Values
MOVLHPS,xmm,xmm,,,sse1,,,,,,Move Packed Single-FP Values Low to High
MOVHPS,xmm,m64,,,sse1,,,,,,Move High Packed Single-FP Values
MOVHPD,xmm,m64,,,sse2,,,,,,Move High Packed Double-FP Value
MOVSHDUP,xmm,xmm/m64,,,sse3,,,,,,Move Packed Single-FP High and Duplicate
MOVHPS,m64,xmm,,,sse1,,,,,,Move High Packed Single-FP Values
MOVHPD,m64,xmm,,,sse2,,,,,,Move High Packed Double-FP Value
PREFETCHNTA,m8,,,,sse1,,,,,,Prefetch Data Into Caches
PREFETCHT0,m8,,,,sse1,,,,,,Prefetch Data Into Caches
PREFETCHT1,m8,,,,sse1,,,,,,Prefetch Data Into Caches
PREFETCHT2,m8,,,,sse1,,,,,,Prefetch Data Into Caches
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
NOP,r/m16/32,,,,,,,,,,No Operation
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
MOV,r32,CRn,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
MOV,r32,CRn,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
MOV,r32,DRn,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
MOV,r32,DRn,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
MOV,CRn,r32,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
MOV,CRn,r32,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
MOV,DRn,r32,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
MOV,DRn,r64,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
MOVAPS,xmm,xmm/m128,,,sse1,,,,,,Move Aligned Packed Single-FP Values
MOVAPD,xmm,xmm/m128,,,sse2,,,,,,Move Aligned Packed Double-FP Values
MOVAPS,xmm/m128,xmm,,,sse1,,,,,,Move Aligned Packed Single-FP Values
MOVAPD,xmm/m128,xmm,,,sse2,,,,,,Move Aligned Packed Double-FP Values
CVTPI2PS,xmm,mm/m64,,,sse1,,,,,,Convert Packed DW Integers to Single-FP Values
CVTSI2SS,xmm,r/m32,,,sse1,,,,,,Convert DW Integer to Scalar Single-FP Value
CVTPI2PD,xmm,mm/m64,,,sse2,,,,,,Convert Packed DW Integers to Double-FP Values
CVTSI2SD,xmm,r/m32,,,sse2,,,,,,Convert DW Integer to Scalar Double-FP Value
MOVNTPS,m128,xmm,,,sse1,,,,,,Store Packed Single-FP Values Using Non-Temporal Hint
MOVNTPD,m128,xmm,,,sse2,,,,,,Store Packed Double-FP Values Using Non-Temporal Hint
CVTTPS2PI,mm,xmm/m64,,,sse1,,,,,,Convert with Trunc. Packed Single-FP Values to DW Integers
CVTTSS2SI,r32,xmm/m32,,,sse1,,,,,,Convert with Trunc. Scalar Single-FP Value to DW Integer
CVTTPD2PI,mm,xmm/m128,,,sse2,,,,,,Convert with Trunc. Packed Double-FP Values to DW Integers
CVTTSD2SI,r32,xmm/m64,,,sse2,,,,,,Conv. with Trunc. Scalar Double-FP Value to Signed DW Int
CVTPS2PI,mm,xmm/m64,,,sse1,,,,,,Convert Packed Single-FP Values to DW Integers
CVTSS2SI,r32,xmm/m32,,,sse1,,,,,,Convert Scalar Single-FP Value to DW Integer
CVTPD2PI,mm,xmm/m128,,,sse2,,,,,,Convert Packed Double-FP Values to DW Integers
CVTSD2SI,r32,xmm/m64,,,sse2,,,,,,Convert Scalar Double-FP Value to DW Integer
UCOMISS,xmm,xmm/m32,,,sse1,,....z.pc,....z.pc,,,Unordered Compare Scalar Single-FP Values and Set EFLAGS
UCOMISD,xmm,xmm/m64,,,sse2,,....z.pc,....z.pc,,,Unordered Compare Scalar Double-FP Values and Set EFLAGS
COMISS,xmm,xmm/m32,,,sse1,,....z.pc,....z.pc,,,Compare Scalar Ordered Single-FP Values and Set EFLAGS
COMISD,xmm,xmm/m64,,,sse2,,....z.pc,....z.pc,,,Compare Scalar Ordered Double-FP Values and Set EFLAGS
WRMSR,MSR,ECX,EAX,EDX,,,,,,,Write to Model Specific Register
RDTSC,EAX,EDX,IA32_TIM…,,,,,,,,Read Time-Stamp Counter
RDMSR,EAX,EDX,ECX,MSR,,,,,,,Read from Model Specific Register
RDPMC,EAX,EDX,PMC,,,,,,,,Read Performance-Monitoring Counters
SYSENTER,SS,ESP,IA32_SYS…,...,,,..i.....,..i.....,,..i.....,Fast System Call
SYSEXIT,SS,eSP,IA32_SYS…,...,,,,,,,Fast Return from Fast System Call
GETSEC,EAX,,,,smx,,,,,,GETSEC Leaf Functions
PSHUFB,mm,mm/m64,,,ssse3,,,,,,Packed Shuffle Bytes
PSHUFB,xmm,xmm/m128,,,ssse3,,,,,,Packed Shuffle Bytes
PHADDW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Add
PHADDW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Add
PHADDD,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Add
PHADDD,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Add
PHADDSW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Add and Saturate
PHADDSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Add and Saturate
PMADDUBSW,mm,mm/m64,,,ssse3,,,,,,Multiply and Add Packed Signed and Unsigned Bytes
PMADDUBSW,xmm,xmm/m128,,,ssse3,,,,,,Multiply and Add Packed Signed and Unsigned Bytes
PHSUBW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Subtract
PHSUBW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Subtract
PHSUBD,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Subtract
PHSUBD,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Subtract
PHSUBSW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Subtract and Saturate
PHSUBSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Subtract and Saturate
PSIGNB,mm,mm/m64,,,ssse3,,,,,,Packed SIGN
PSIGNB,xmm,xmm/m128,,,ssse3,,,,,,Packed SIGN
PSIGNW,mm,mm/m64,,,ssse3,,,,,,Packed SIGN
PSIGNW,xmm,xmm/m128,,,ssse3,,,,,,Packed SIGN
PSIGND,mm,mm/m64,,,ssse3,,,,,,Packed SIGN
PSIGND,xmm,xmm/m128,,,ssse3,,,,,,Packed SIGN
PMULHRSW,mm,mm/m64,,,ssse3,,,,,,Packed Multiply High with Round and Scale
PMULHRSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Multiply High with Round and Scale
PBLENDVB,xmm,xmm/m128,XMM0,,sse41,,,,,,Variable Blend Packed Bytes
BLENDVPS,xmm,xmm/m128,XMM0,,sse41,,,,,,Variable Blend Packed Single-FP Values
BLENDVPD,xmm,xmm/m128,XMM0,,sse41,,,,,,Variable Blend Packed Double-FP Values
PTEST,xmm,xmm/m128,,,sse41,,o..szapc,o..szapc,,o..s.ap.,Logical Compare
PABSB,mm,mm/m64,,,ssse3,,,,,,Packed Absolute Value
PABSB,xmm,xmm/m128,,,ssse3,,,,,,Packed Absolute Value
PABSW,mm,mm/m64,,,ssse3,,,,,,Packed Absolute Value
PABSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Absolute Value
PABSD,mm,mm/m64,,,ssse3,,,,,,Packed Absolute Value
PABSD,xmm,xmm/m128,,,ssse3,,,,,,Packed Absolute Value
PMOVSXBW,xmm,m64,,,sse41,,,,,,Packed Move with Sign Extend
PMOVSXBW,xmm,xmm,,,,,,,,,
PMOVSXBD,xmm,m32,,,sse41,,,,,,Packed Move with Sign Extend
PMOVSXBD,xmm,xmm,,,,,,,,,
PMOVSXBQ,xmm,m16,,,sse41,,,,,,Packed Move with Sign Extend
PMOVSXBQ,xmm,xmm,,,,,,,,,
PMOVSXWD,xmm,m64,,,sse41,,,,,,Packed Move with Sign Extend
PMOVSXWD,xmm,xmm,,,,,,,,,
PMOVSXWQ,xmm,m32,,,sse41,,,,,,Packed Move with Sign Extend
PMOVSXWQ,xmm,xmm,,,,,,,,,
PMOVSXDQ,xmm,m64,,,sse41,,,,,,Packed Move with Sign Extend
PMOVSXDQ,xmm,xmm,,,,,,,,,
PMULDQ,xmm,xmm/m128,,,sse41,,,,,,Multiply Packed Signed Dword Integers
PCMPEQQ,xmm,xmm/m128,,,sse41,,,,,,Compare Packed Qword Data for Equal
MOVNTDQA,xmm,m128,,,sse41,,,,,,Load Double Quadword Non-Temporal Aligned Hint
PACKUSDW,xmm,xmm/m128,,,sse41,,,,,,Pack with Unsigned Saturation
PMOVZXBW,xmm,m64,,,sse41,,,,,,Packed Move with Zero Extend
PMOVZXBW,xmm,xmm,,,,,,,,,
PMOVZXBD,xmm,m32,,,sse41,,,,,,Packed Move with Zero Extend
PMOVZXBD,xmm,xmm,,,,,,,,,
PMOVZXBQ,xmm,m16,,,sse41,,,,,,Packed Move with Zero Extend
PMOVZXBQ,xmm,xmm,,,,,,,,,
PMOVZXWD,xmm,m64,,,sse41,,,,,,Packed Move with Zero Extend
PMOVZXWD,xmm,xmm,,,,,,,,,
PMOVZXWQ,xmm,m32,,,sse41,,,,,,Packed Move with Zero Extend
PMOVZXWQ,xmm,xmm,,,,,,,,,
PMOVZXDQ,xmm,m64,,,sse41,,,,,,Packed Move with Zero Extend
PMOVZXDQ,xmm,xmm,,,,,,,,,
PCMPGTQ,xmm,xmm/m128,,,sse42,,,,,,Compare Packed Qword Data for Greater Than
PMINSB,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Signed Byte Integers
PMINSD,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Signed Dword Integers
PMINUW,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Unsigned Word Integers
PMINUD,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Unsigned Dword Integers
PMAXSB,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Signed Byte Integers
PMAXSD,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Signed Dword Integers
PMAXUW,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Unsigned Word Integers
PMAXUD,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Unsigned Dword Integers
PMULLD,xmm,xmm/m128,,,sse41,,,,,,Multiply Packed Signed Dword Integers and Store Low Result
PHMINPOSUW,xmm,xmm/m128,,,sse41,,,,,,Packed Horizontal Word Minimum
INVEPT,r32,m128,,,vmx,,o..szapc,o..szapc,,,Invalidate Translations Derived from EPT
INVVPID,r32,m128,,,vmx,,o..szapc,o..szapc,,,Invalidate Translations Based on VPID
MOVBE,r16/32,m16/32,,,,,,,,,Move Data After Swapping Bytes
CRC32,r32,r/m8,,,sse42,,,,,,Accumulate CRC32 Value
MOVBE,m16/32,r16/32,,,,,,,,,Move Data After Swapping Bytes
CRC32,r32,r/m16/32,,,sse42,,,,,,Accumulate CRC32 Value
ROUNDPS,xmm,xmm/m128,imm8,,sse41,,,,,,Round Packed Single-FP Values
ROUNDPD,xmm,xmm/m128,imm8,,sse41,,,,,,Round Packed Double-FP Values
ROUNDSS,xmm,xmm/m32,imm8,,sse41,,,,,,Round Scalar Single-FP Values
ROUNDSD,xmm,xmm/m64,imm8,,sse41,,,,,,Round Scalar Double-FP Values
BLENDPS,xmm,xmm/m128,imm8,,sse41,,,,,,Blend Packed Single-FP Values
BLENDPD,xmm,xmm/m128,imm8,,sse41,,,,,,Blend Packed Double-FP Values
PBLENDW,xmm,xmm/m128,imm8,,sse41,,,,,,Blend Packed Words
PALIGNR,mm,mm/m64,imm8,,ssse3,,,,,,Packed Align Right
PALIGNR,xmm,xmm/m128,imm8,,ssse3,,,,,,Packed Align Right
PEXTRB,m8,xmm,imm8,,sse41,,,,,,Extract Byte
PEXTRB,r32,xmm,imm8,,,,,,,,
PEXTRW,m16,xmm,imm8,,sse41,,,,,,Extract Word
PEXTRW,r32,xmm,imm8,,,,,,,,
PEXTRD,r/m32,xmm,imm8,,sse41,,,,,,Extract Dword/Qword
PEXTRQ,r/m64,xmm,imm8,,,,,,,,
EXTRACTPS,r/m32,xmm,imm8,,sse41,,,,,,Extract Packed Single-FP Value
PINSRB,xmm,m8,imm8,,sse41,,,,,,Insert Byte
PINSRB,xmm,r32,imm8,,,,,,,,
INSERTPS,xmm,xmm,imm8,,sse41,,,,,,Insert Packed Single-FP Value
INSERTPS,xmm,m32,imm8,,,,,,,,
PINSRD,xmm,r/m32,imm8,,sse41,,,,,,Insert Dword/Qword
PINSRQ,xmm,r/m64,imm8,,,,,,,,
DPPS,xmm,xmm/m128,imm8,,sse41,,,,,,Dot Product of Packed Single-FP Values
DPPD,xmm,xmm/m128,imm8,,sse41,,,,,,Dot Product of Packed Double-FP Values
MPSADBW,xmm,xmm/m128,imm8,,sse41,,,,,,Compute Multiple Packed Sums of Absolute Difference
